GeneName	xref_id	HN1.5	Proteo
ADIG	149685	-18	NA
ADIPOQ	9370	41	NA
ADIPOR1	51094	13	NA
ADIPOR2	79602	-36	NA
ADIRF	10974	-13	NA
ADK	132	-53	NA
ADM	133	373	NA
ADM2	79924	4	NA
ADM5	199800	-91	NA
ADNP	23394	-31	NA
ADNP2	22850	32	NA
ADO	84890	-84	NA
ADORA1	134	-153	NA
ADORA2A	135	150	NA
ADORA2B	136	90	NA
ADORA3	140	-33	NA
ADPGK	83440	-52	NA
ADPRH	141	-56	NA
ADPRHL1	113622	32	NA
ADPRHL2		52	NA
ADPRM	56985	77	NA
ADRA1A	148	62	NA
ADRA1B	147	77	NA
ADRA1D	146	24	NA
ADRA2A	150	-17	NA
ADRA2B	151	16	NA
ADRA2C	152	10	NA
ADRB1	153	-15	NA
ADRB2	154	-61	NA
ADRB3	155	51	NA
ADRM1	11047	-82	NA
ADSL	158	-120	NA
ADSS		-94	NA
ADSSL1		158	NA
ADTRP	84830	0	NA
AEBP1	165	1	NA
AEBP2	121536	22	NA
AEN	64782	-119	NA
AES		8	NA
AFAP1	60312	45	NA
AFAP1L1	134265	172	NA
AFAP1L2	84632	-11	NA
AFDN	4301	51	NA
AFF1	4299	83	NA
AFF2	2334	8	NA
AFF3	3899	31	NA
AFF4	27125	78	NA
AFG1L	246269	-20	NA
AFG3L2	10939	-102	NA
AFM	173	-7	NA
AFMID	125061	49	NA
AFP	174	-31	NA
AFTPH	54812	26	NA
AGA	175	1	NA
AGAP1	116987	109	NA
AGAP2	116986	20	NA
AGAP3	116988	-24	NA
AGAP4	119016	-15	NA
AGAP5	729092	-31	NA
AGAP6	414189	-96	NA
AGAP9	642517	-7	NA
AGBL1	123624	2	NA
AGBL2	79841	-70	NA
AGBL3	340351	-46	NA
AGBL4	84871	20	NA
AGBL5	60509	14	NA
AGER	177	2	NA
AGFG1	3267	-22	NA
AGFG2	3268	-95	NA
AGGF1	55109	-20	NA
AGK	55750	-116	NA
AGL	178	-52	NA
AGMAT	79814	-57	NA
AGMO	392636	45	NA
AGO1	26523	-33	NA
AGO2	27161	2	NA
AGO3	192669	-10	NA
AGO4	192670	109	NA
AGPAT1	10554	-19	NA
AGPAT2	10555	44	NA
AGPAT3	56894	-91	NA
AGPAT4	56895	57	NA
AGPAT5	55326	73	NA
AGPS	8540	-60	NA
AGR2	10551	-29	NA
AGR3	155465	-47	NA
AGRN	375790	70	NA
AGRP	181	-6	NA
AGT	183	12	NA
AGTPBP1	23287	42	NA
AGTR1	185	17	NA
AGTR2	186	-6	NA
AGTRAP	57085	-43	NA
AGXT	189	68	NA
AGXT2	64902	7	NA
AHCTF1	25909	-71	NA
AHCY	191	-63	NA
AHCYL1	10768	-13	NA
AHCYL2	23382	-25	NA
AHDC1	27245	82	NA
