gene	transcript_id	xref_id	AP-1	AP-2	AP-3	AP-4	AP-7	AP-8	AP-9	AP-10	AP-11	AP-12	AP-13	AP-14	AP-15	AP-16	AP-17	AP-18	AP-20	AP-21	AP-22	AP-23	CC-1	CC-2	SDL-1	SDL-2	SDL-3	SDL-4	SDL-5	DV-FL-1	DV-FL-2	DV-FL-3	DV-FL-4	DV-FL-5	DV-FL-6	DV-EB-1	DV-EB-2	DV-EB-3	DV-EB-4	DV-EB-5	DV-EB-6	DV-EB-7	DV-EB-8	DV-EB-9	DV-EB-10	DV-LF-0	DV-LF-1	DV-LF-2	DV-LF-3	DV-LF-4	DV-LF-5	DV-LF-6	DV-LF-7	DV-LF-8	DV-LF-9	DV-LF-10	DV-LF-11	DV-LF-12
AT5G40940			0.0636337	0.0312125	0.266455	0.0952658	0	0.0253059	0.0397103	0.0416878	0	0	0	0	0	0	0.10448	0	0	0	0.034987	0	3.83871	0.736827	0	0	0.0453766	0.169494	0	42.6038	81.4559	0.812564	0.120231	0.0387316	0.0423959	0.100504	0.036528	0	0.0710503	0.192104	0.270681	0.06424	0	0	0.0194261	0	0	0.0407132	0.0371833	0.0412048	0	0	0	0	0	0	0	0
AT5G40950			34.1495	36.7334	10.907	225.069	31.2288	34.1914	0.0540268	127.214	144.356	228.949	418.224	335.031	229.962	55.3434	49.0776	234.941	27.6981	73.0402	40.5484	30.7488	58.7614	73.7139	500.52	185.881	38.2852	40.566	522.391	153.304	173.116	180.313	175.205	120.224	175.939	433.533	462.562	446.429	354.726	238.558	145.866	189.887	257.927	111.066	43.4839	84.3922	348.595	307.229	365.374	370.055	383.449	466.938	540.481	640.044	496.197	818.855	876.993	1023.77
AT5G40960			72.0102	35.6971	26.7875	8.65338	0.177678	0.119105	0	32.3675	27.0094	7.35801	2.90446	3.92296	4.62056	11.5188	13.6148	35.6279	155.105	278.561	0.0597244	2.91279	0.0627066	0.218394	2.68843	10.5346	7.70129	11.8221	2.20501	9.64839	7.63598	8.53982	15.6433	25.6098	41.714	12.187	10.203	12.3952	13.3985	37.1417	42.6418	34.7744	32.8105	18.4489	7.93466	4.74357	1.27903	3.12498	4.36591	4.58038	3.58434	3.75693	2.12875	2.35244	2.55854	4.45999	4.94712	4.78675
AT5G40970			15.2517	6.44298	4.78954	8.59734	9.19768	11.583	0	12.0874	11.9694	8.59271	6.82425	7.62959	8.05683	5.88686	6.32208	10.6248	12.999	15.2796	5.94078	5.59788	10.8656	10.5782	3.80445	8.81003	2.11596	3.61334	6.88138	7.81443	7.66448	7.71175	6.69493	9.19995	9.90829	11.2934	10.8082	12.0415	13.4369	12.9795	5.82676	6.65956	7.73701	3.62327	2.85888	2.31094	5.75785	5.48766	6.56367	6.71668	6.799	7.55192	5.8286	4.80608	5.09308	6.14511	6.00348	6.18451
AT5G40980			9.06665	4.32881	4.47386	15.1065	0	0.214274	0	8.41659	8.54542	2.60148	2.63302	5.06694	12.3108	1.83732	26.9645	18.7979	1.21518	1.72554	0.894853	3.93257	0.155262	14.5375	4.38023	24.1595	29.2392	27.473	5.03041	9.14128	9.72638	13.8107	10.9588	10.6674	7.04629	12.9477	14.1348	23.6448	20.5322	10.1031	5.05302	2.39269	3.10177	2.59069	1.9607	0.79475	0.814518	1.59172	2.36189	1.98722	3.27626	3.31643	1.25465	1.92481	3.5782	7.88338	8.86824	7.2971
AT5G40981			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G40990			0	0	0	0	0	0	0	0.206274	0.0744251	0.14407	0.160749	0	0	0.0764776	1.34557	0	0	0	0.423674	1.15139	0.45227	33.054	0	0.359452	0.509988	5.83476	0	0.122221	0	0	0.0415576	0.0398972	0.0440112	0	0	0	0	0	0	0	0	0	0	15.5886	2.32284	7.65523	0.0752021	0.691161	0	0	0.417264	0.0762641	0.124203	1.06241	0.15242	0.116737
AT5G41000			0.21533945	0.166649	0.3000724	8.37624	0.208198	0.166154	0.0187256	0.840596	0.628304	2.737377	3.338661	4.567284	2.620209	1.11573	5.2951	3.09456	0.2640317	0.137955	0.0173835	1.474952	1.85524669543	7.166778	1.579221	4.088516	5.205841	6.22531	3.64479	7.15465	6.08377	7.290433	7.378546	4.289979	3.97249	8.90938	8.80119	8.67589	5.41056	5.243904	3.43318	4.179448	4.80765	2.19131	2.4339174	2.713109	3.58066	2.75138	2.52007	3.294704	2.615648	3.115646	2.85866	5.18147	4.07461	3.782605	4.551736	6.2392
AT5G41010			18.7484	27.8449	6.67341	74.3236	19.5379	24.6558	0.263686	52.8185	51.9602	39.3869	27.072	24.473	30.1428	17.4123	63.7663	29.8145	26.3631	29.8619	61.7432	61.9135	159.611	88.7891	30.0189	66.7675	33.7212	66.203	37.3492	79.3677	84.2484	73.4774	46.2283	52.7753	51.1971	98.8811	91.4482	79.8461	44.9236	61.7005	66.5224	45.0006	31.7214	19.5938	13.1288	36.6142	49.0459	52.8323	41.4176	40.3331	31.3349	31.2439	42.1838	41.8802	42.5589	47.872	57.6478	63.7381
AT5G41020			35.7367	29.2877	7.47777	43.2528	13.0662	52.7645	0.23386	39.4205	37.7099	31.4411	13.6443	16.3192	26.0434	38.0599	34.7331	26.265	54.809	37.4526	81.8726	92.212	121.028	97.6347	21.915	51.0166	31.6577	49.8507	35.4015	49.8522	55.9181	35.5113	26.7784	27.0092	34.5579	29.541	32.6677	24.8124	22.5768	17.4574	0.879605	0.906694	0.691446	0.40911	0.557722	20.7967	29.7504	23.0918	25.4373	23.7068	18.4978	20.4479	21.6964	23.559	20.3296	26.0157	26.5344	23.8334
