Symbol	xref_id	Basal_011116	Basal_011316	Basal_081715	Basal_112415	Suprabasal_011116	Suprabasal_011316	Suprabasal_081715	Suprabasal_112415
ZNF71-SMIM17	114818278	0	0.1313	0.02503	0	0	0.04818	0.02961	0
SMIM17	147670	0	0.1461	0	0	0	0	0.03295	0
ZNF835	90485	0	0	0	0.02137	0	0	0	0
LOC105372473	105372473	0	0	0	0	0	0	0	0
LOC105372472	105372472	0	0	0	0	0	0	0	0
ZIM2-AS1	101929059	0	0	0.0494	0	0	0	0	0
ZIM2	23619	0.5445	0.1208	0.532	1.82	0	0.03658	0.08991	0.1351
PEG3	5178	3.844	1.947	3.196	9.457	0.5017	0.7499	0.7469	0.5948
PEG3-AS1	100169890	6.425	2.134	4.474	12.79	0.7198	0.3113	0.744	0.9586
MIMT1	100073347	0	0	0	0	0	0	0	0
LOC105372475	105372475	0	0	0	0	0	0	0	0
USP29	57663	0	0	0	0	0	0	0	0
ZIM3	114026	0	0	0	0	0	0	0	0
DUXA	503835	0	0	0	0	0	0	0	0
