Metabolite	HMDB	KEGG	xref_id	Hot_F1	Hot_F2	Hot_F3	Hot_F4	Hot_P1	Hot_P2	Hot_P3	Hot_P4
Raffinose	HMDB0003213	C00492	CHEBI:16634	4.271416336	8.165485588	11.67993474	7.229598343	5.9115977	3.872041274	7.483835736	5.498113093
Cytidine triphosphate	HMDB0000082	C00063	CHEBI:37563	0.44249529	0.504675605	0.031288783	0.36323591	0.06475736	0.151344558	0.166457315	0.168281884
Uridine triphosphate	HMDB0000285	C00075	CHEBI:46398	0.518237395	0.619617649	0.063682923	0.513082662	0.285515695	0.645748698	0.52867861	0.480918423
Adenosine triphosphate	HMDB0000538	C00002	CHEBI:30616	1.771181649	2.011413575	0.255400066	1.369228463	0.54622389	1.50636196	1.116221483	1.103093326
Guanosine triphosphate	HMDB0001273	C00044	CHEBI:37565	0.455646486	0.487684396	0.222925724	0.477824515	0.030687436	0.116232404	0.117310607	0.124280418
Uridine 5'-diphosphate	HMDB0000295	C00015	CHEBI:58223	0.49602833	0.554419483	0.287874233	0.60069333	0.340421838	0.43642621	0.465441969	0.453421621
CDP	HMDB0001546	C00112	CHEBI:58069	0.2002096	0.217520793	0.072395872	0.183465738	0.030107768	0.038421705	0.046929113	0.044552542
NADPH	HMDB0000221	C00005	CHEBI:57783	0.051068547	0.015603912	0.099452634	0.042926354	0	0	0	0
ADP	HMDB0001341	C00008	CHEBI:456216	1.321618106	1.213434492	0.623667046	0.870871235	0.218843059	0.460050834	0.414203818	0.3773556
Guanosine diphosphate	HMDB0001201	C00035	CHEBI:58189	0.177795758	0.171908074	0.280970189	0.153589921	0.012277458	0.030731949	0.029417342	0
Acetyl-CoA	HMDB0001206	C00024	CHEBI:57288	0	0	0	0	0	0.043418294	0.013845504	0
NADP	HMDB0000217	C00006	CHEBI:58349	0.409528243	0.543765839	0.365213078	0.583393871	0.2930542	0.339102829	0.32057779	0.391568095
Uridine 5'-monophosphate	HMDB0000288	C00105	CHEBI:57865	0.756984618	0.720250886	1.107058323	0.869049823	0.318795521	0.124404856	0.360236067	0.400283253
Cytidine monophosphate	HMDB0000095	C00055	CHEBI:60377	0.388060359	0.401062302	0.559916189	0.411530376	0.061797398	0.260728551	0.056672837	0.10945472
Inosinic acid	HMDB0000175	C00130	CHEBI:58053	0.221398111	0.217942993	0.269182571	0.246636093	0.042772107	0	0.031649909	0.058787776
Guanosine monophosphate	HMDB0001397	C00144	CHEBI:58115	0.032251256	0.007559405	0.042152199	0.01795826	0.00506576	0	0	0
Adenosine monophosphate	HMDB0000045	C00020	CHEBI:456215	1.096236073	1.21702349	1.436553829	1.146692392	0.216309307	0.110841941	0.261560039	0.318188027
Cinnamic acid	HMDB0000567	C10438	CHEBI:15669	0.168238932	0.508550469	0.466966101	0.482282703	0.291344588	0.481415597	0.493195448	0.428085444
Ascorbate	-	C00072	CHEBI:38290	15.11407888	17.75683871	24.3016061	23.13467295	0	0	0	6.970258352
Cyclic AMP	HMDB0000058	C00575	CHEBI:58165	0.173356375	0.042556976	0.00419133	0	0	0	0	0
Glutathione	HMDB0000125	C00051	CHEBI:57925	17.92437276	10.87642288	9.809466164	9.716596898	5.088343832	8.160860971	6.502065236	7.347117488
NAD	HMDB0000902	C00003	CHEBI:57540	2.087756251	2.517076313	2.428326807	2.14602695	0.461879728	0.473077982	0.501148936	0.63155909
